Spectral Class ID,Op Type,Description,L_50Hz,L_63Hz,L_80Hz,L_100Hz,L_125Hz,L_160Hz,L_200Hz,L_250Hz,L_315Hz,L_400Hz,L_500Hz,L_630Hz,L_800Hz,L_1000Hz,L_1250Hz,L_1600Hz,L_2000Hz,L_2500Hz,L_3150Hz,L_4000Hz,L_5000Hz,L_6300Hz,L_8000Hz,L_10000Hz
201,Approach                                          ,2/3-Engine.LowByPass.Tfan,64.9,65.5,66.2,66.7,73,77.6,74.8,70.7,76.6,72.5,74.4,73.6,70.9,70,69.2,67.8,66.5,68,63,60,57.6,56.3,54.6,45.8
202,Approach                                          ,2-Engine.Low/HighByPass.Tfan,68.5,68.5,68.5,68.4,68.5,70.9,73.3,67.3,72.6,72.5,72.1,75.4,75.4,70,68.9,68.3,65.8,64.7,63.5,62.1,60.2,57.8,48.6,38.8
203,Approach                                          ,2-Engine.HighByPass.Tfan+Business,67.3,68.9,69.6,70,70.2,74,74.7,73.1,71.3,74.1,72.9,73.1,71.6,70,70.4,67.4,67.4,70.8,69.7,72.1,64.2,56.4,49.6,38.9
204,Approach                                          ,2-Engine.Low/MidByPass.Tfan,58.8,57.1,59.4,68,72.8,73.7,69.1,72.3,74.8,75.6,73.6,72.1,72.1,70,66.3,63.6,59.9,57.5,54.8,51.8,48.8,45.8,42.8,39.8
205,Approach                                          ,2-Engine.HighByPass.Tfan,68.3,60.7,64.6,67.4,78.4,74.8,71.4,72.4,72,72.4,71.6,72,71,70,68.9,67.2,65.8,64.4,63,62,60.6,54.4,48.5,39
206,Approach                                          ,4-Engine.Tjet+Tfan,63.3,65.4,64.1,63.2,66,66.6,69.6,70.1,71.5,67.1,71,70.4,71.8,70,69.6,66.6,62.9,62,62.7,59.1,58.8,53.3,50.2,40.6
207,Approach                                          ,4-Engine.Tfan,67,61.1,62.7,64.1,70.4,74.4,71.8,68.4,76.3,72.3,73.5,71.2,70.5,70,68.7,67.1,67.5,69.4,71.1,72.5,65.7,59.3,52.2,45.6
208,Approach                                          ,4-Engine.Tjet+Tfan,66.7,65,61.7,65.4,72.9,76.2,73,68.1,72.7,70.7,72.1,70.1,69,70,70.9,70.2,70.6,81.3,73.7,62.8,62.6,56,49.6,37.9
209,Approach                                          ,4-Engine.Tfan,60,59,60,69,71,70,69,69,69,69,70,69,69,70,72,77,72,72,70,66,63,57,49,38
210,Approach                                          ,2-Engine.Tprop,65,70,65,72,77,68,78,85,86,79,73,76,71,70,68,68,65,63,60,56,53,52,42,28
211,Approach                                          ,2-Engine.Tprop,71.3,65.4,74.7,88.1,77.1,80.3,86.9,80,86.8,78.2,75.5,75.2,71.6,70,70.7,69.6,68.6,67.5,67,63.9,59.9,53,45.7,40
212,Approach                                          ,2-Engine.Tprop,72,68,79,71,73,84,74,75,73,72,71,77,73,70,77,75,72,70,71,83,75,57,54,45
213,Approach                                          ,4-Engine.Tprop+Piston,64,73,76,71,82,83,67,71,70,69,69,68,67,70,69,67,64,60,57,54,49,42,32,20
214,Approach                                          ,2/4-Engine.Tprop,61.8,69.8,61.8,58.8,67.8,70.8,62.8,59.8,62.8,60.8,60.8,59.8,60.8,70,67.8,61.8,59.8,56.8,52.8,49.8,47.8,45.8,35.8,27.8
215,Approach                                          ,1/2-Engine.Piston,83,98,83,79,91,80,85,76,75,73,72,73,71,70,68,66,65,64,60,57,53,49,43,32
216,Approach                                          ,2-Engine.Tjet+Tfan,68,63.1,64.7,71.2,74.3,75,70.3,72.6,72.1,73.3,71.3,70.7,70.3,70,69.3,68,67.8,66.3,64.4,62,57.2,52.2,43.5,33.1
234,Approach                                          ,Military,56.3,77.3,80.3,74.2,74.3,70.2,72.2,69.3,69.1,71.2,69.1,72.1,69.1,70,69.9,67.7,67.4,65.1,63.7,61.4,55.3,49.1,42.9,33.5
235,Approach                                          ,2-Engine.Tfan.Business,67.3,68.9,69.6,70,70.2,74,74.7,73.1,71.3,74.1,72.9,73.1,71.6,70,70.4,67.4,67.4,70.8,69.7,72.1,64.2,56.4,49.6,38.9
236,Approach                                          ,2-Engine.Tfan.Business,63.3,65.4,64.1,63.2,66,66.6,69.6,70.1,71.4,67.1,71,70.4,71.8,70,69.5,66.6,62.9,62,62.7,59.1,58.8,53.3,50.2,40.6
237,Approach                                          ,2-Engine.Tfan.Business,67,61.1,62.7,64.1,70.4,74.4,71.8,68.4,76.3,72.3,73.5,71.2,70.5,70,68.7,67.1,67.5,69.4,71.1,72.5,65.7,59.3,52.2,45.6
238,Approach                                          ,2-Engine.Tfan.Business,60,59,60,69,71,70,69,69,69,69,70,69,69,70,72,77,72,72,70,66,63,57,49,38
239,Approach,2-Engine.HighByPass.Tfan,71.04,65.04,60.69,70.68,74.83,76.45,73.22,71.81,75.94,73,71.11,70.47,70.67,70,68.67,67.32,65.43,63.55,60.94,58.48,56.76,50.97,45.59,36.38
240,Approach,2-Engine.Tprop,65.9,68,66.9,80,77.1,78.5,73.9,75.6,77.7,73.6,73.3,72.7,70.9,70,70.7,69.9,68.7,67.2,65.1,62.8,65.4,60.5,51.9,42.5
241,Approach,2-Engine.HighByPass.Tfan,70.64,67.57,61.39,68.7,74.41,78.67,77.61,71.25,76.25,72.57,76.47,72.96,70.72,70,68.68,67.51,66.05,65.02,63.96,65.18,61.12,56.86,52.15,44.63
242,Approach,2-Engine.HighByPass.Tfan,65.49,60.71,61.44,70.27,74.33,74.94,69.34,71.26,75.22,71.56,73.26,73.02,71.57,70,68.21,67.2,65.76,64.29,62.05,59.48,59.66,57.3,49.89,39.26
243,Approach,2-Engine.HighByPass.Tfan,70.11,64.12,66.8,73.45,76.74,76.2,71.36,76.43,76.03,76.25,74.05,73.04,70.87,70,68.82,67.85,66.5,65.24,63.63,61.34,58.82,55.85,51.98,45.13
244,Approach,2-Engine.HighByPass.Tfan,67.96,61.49,65.24,72.98,76.54,76.09,69.02,73.96,74.11,74.22,72.48,72.86,73.47,70,69.8,68.74,66.47,65.12,62.46,61.81,61.85,57.78,52.46,44.15
245,Approach,4-Engine.Tfan,70.66,63.92,67.87,73.93,77.55,75.72,69.68,74.77,72.94,73.82,72.34,72.11,71.08,70,67.73,67,63.96,61.69,61.52,54.97,52.19,44.71,34.81,20.72
246,Approach,2-Engine.HighByPass.Tfan,68.91,62.81,63.79,71.83,75.76,76.05,70.04,73.24,74.27,72.66,72.38,71.57,71.19,70,68.74,70.66,68.43,65.13,62.23,59.66,58.42,52.19,47.38,38.71
247,Approach,2-Engine.HighByPass.Tfan,66.44,58.76,66.23,74.43,77.71,77.11,70.58,74.88,76.61,74.63,73.61,72.7,70.85,70,68.45,66.95,66.37,65.1,62.83,62.52,64.58,60.1,53.83,45.38
